iter	Passed	Remaining
0	7693	7685868
1	15532	7750544
2	23278	7736292
3	30930	7701624
4	38307	7623194
5	46657	7729550
6	55081	7813713
7	63054	7818737
8	71598	7883775
9	79190	7839821
10	87722	7887043
11	95449	7858680
12	103420	7852025
13	111773	7872035
14	120165	7890868
15	127772	7857986
16	136844	7912831
17	144897	7904944
18	152258	7861342
19	160143	7847029
20	167744	7820084
21	175407	7797674
22	182846	7767000
23	190655	7753314
24	198159	7728225
25	205936	7714682
26	213550	7695719
27	221363	7684491
28	228981	7666923
29	236315	7640852
30	243530	7612286
31	250846	7588096
32	258121	7563732
33	266275	7565360
34	273727	7547048
35	281450	7536618
36	288739	7515028
37	296232	7499351
38	303700	7483491
39	311252	7470066
40	318756	7455788
41	326218	7440899
42	333589	7424316
43	341759	7425512
44	349401	7415066
45	357149	7406973
46	364818	7397285
47	372318	7384316
48	379530	7365984
49	387344	7359553
50	394948	7349148
51	403073	7348334
52	410518	7335118
53	417862	7320339
54	425172	7305228
55	432484	7290450
56	439950	7278472
57	447350	7265590
58	454605	7250576
59	461885	7236212
60	470133	7236977
61	477672	7226728
62	485100	7214906
63	491832	7193044
64	499750	7188716
65	507485	7181684
66	514587	7165823
67	522095	7155781
68	529514	7144605
69	537092	7135654
70	544906	7129838
71	552293	7118452
72	559926	7110300
73	567660	7103433
74	574546	7086071
75	581824	7073762
76	589553	7066982
77	596750	7053892
78	604789	7050778
79	611831	7036064
80	618839	7021157
81	626015	7008322
82	633089	6994491
83	640558	6985141
84	647155	6966436
85	654643	6957491
86	661819	6945303
87	669441	6937843
88	676667	6926340
89	683841	6914397
90	690922	6901629
91	698224	6891168
92	705641	6881898
93	713212	6874153
94	720258	6861413
95	727305	6848797
96	734958	6841932
97	742147	6830786
98	749431	6820583
99	756688	6810196
100	763323	6794333
101	770569	6784031
102	777978	6775213
103	784949	6762644
104	791980	6750688
105	799221	6740601
106	806506	6730941
107	814062	6723556
108	820723	6708848
109	827958	6698938
110	834920	6686885
111	842254	6677877
112	849278	6666456
113	856607	6657494
114	863807	6647561
115	871068	6638140
116	878351	6628926
117	885865	6621466
118	893801	6617133
119	900551	6604047
120	908078	6596704
121	915064	6585462
122	922023	6574102
123	929271	6564852
124	936303	6554125
125	943585	6545187
126	950894	6536461
127	958484	6529678
128	965280	6517513
129	972838	6510531
130	979670	6498731
131	986977	6490127
132	994918	6485672
133	1002177	6476759
134	1008988	6465002
135	1015513	6451496
136	1022601	6441641
137	1029261	6429153
138	1036495	6420306
139	1043671	6411125
140	1051036	6403125
141	1057803	6391518
142	1065573	6385986
143	1072857	6377543
144	1079754	6366827
145	1086856	6357368
146	1094177	6349208
147	1100905	6337646
148	1107191	6323623
149	1114549	6315777
150	1121730	6306947
151	1128716	6297049
152	1135860	6288065
153	1142822	6278100
154	1150109	6269954
155	1156840	6258805
156	1164171	6250931
157	1172040	6245936
158	1179153	6236906
159	1186207	6227590
160	1193173	6217841
161	1200186	6208374
162	1207291	6199407
163	1214036	6188627
164	1221240	6180215
165	1228306	6171131
166	1235200	6161210
167	1242559	6153625
168	1249886	6145892
169	1257103	6137624
170	1264183	6128704
171	1271192	6119461
172	1278446	6111416
173	1285444	6102169
174	1292809	6094674
175	1299588	6084438
176	1307230	6078250
177	1314278	6069307
178	1321424	6060836
179	1328130	6050373
180	1335161	6041421
181	1342685	6034706
182	1349997	6027036
183	1357123	6018548
184	1363861	6008360
185	1370953	5999763
186	1378608	5993631
187	1385692	5985011
188	1392997	5977359
189	1399953	5968222
190	1406810	5958687
191	1414138	5951168
192	1421347	5943148
193	1428763	5935997
194	1435267	5925078
195	1442488	5917147
196	1449552	5908581
197	1456140	5898106
198	1463772	5891869
199	1470505	5882021
200	1477469	5873123
201	1484626	5865009
202	1491907	5857392
203	1499212	5849868
204	1506221	5841201
205	1512977	5831575
206	1520397	5824517
207	1527427	5815974
208	1534695	5808344
209	1541478	5798894
210	1548841	5791638
211	1556181	5784295
212	1563015	5775086
213	1570416	5767978
214	1578070	5761792
215	1585166	5753565
216	1592738	5747068
217	1599777	5738651
218	1606510	5729153
219	1613659	5721158
220	1620747	5712951
221	1627287	5702836
222	1634167	5693937
223	1641521	5686699
224	1648499	5678164
225	1655493	5669698
226	1662636	5661754
227	1669724	5653627
228	1677002	5646151
229	1684367	5638968
230	1691607	5631369
231	1699037	5624398
232	1706246	5616698
233	1713583	5609424
234	1720728	5601520
235	1728043	5594175
236	1734637	5584509
237	1741806	5576707
238	1748294	5566745
239	1755293	5558430
240	1762455	5550636
241	1769987	5544010
