iter	Logloss
0	0.6220361129
1	0.5626469479
2	0.5123051798
3	0.4684229787
4	0.4317206236
5	0.4006019478
6	0.3719634505
7	0.3491481048
8	0.330227035
9	0.3123452622
10	0.296695213
11	0.2827065157
12	0.2702881365
13	0.2614711232
14	0.2525783985
15	0.2453113188
16	0.238305532
17	0.2324060276
18	0.2268243727
19	0.2222204841
20	0.2180549891
21	0.2150319908
22	0.210646758
23	0.2074446545
24	0.2043651848
25	0.2007514643
26	0.1982355949
27	0.1959167365
28	0.1934963448
29	0.1910296408
30	0.1888915653
31	0.1865517936
32	0.1850617714
33	0.1833906081
34	0.1818383359
35	0.1804497908
36	0.1789518386
37	0.1776031854
38	0.1764871681
39	0.1754829131
40	0.1741976014
41	0.1729358302
42	0.171974229
43	0.1708915181
44	0.1697922994
45	0.1688282994
46	0.1680647716
47	0.1672014613
48	0.1663204054
49	0.165469488
50	0.1649895017
51	0.1639647501
52	0.1631449441
53	0.1622200916
54	0.1617589716
55	0.1611634275
56	0.1605414264
57	0.1598006894
58	0.1592573889
59	0.1586959179
60	0.1579902659
61	0.1574452709
62	0.1571058676
63	0.1564147781
64	0.1560729035
65	0.1557195855
66	0.1552738781
67	0.1550292326
68	0.1546289192
69	0.1539715779
70	0.1536997578
71	0.1534257758
72	0.1528656534
73	0.1521342321
74	0.1514681107
75	0.1511010058
76	0.1503957997
77	0.150026068
78	0.1496592075
79	0.1491161531
80	0.148730209
81	0.1485151338
82	0.1482402545
83	0.1477948451
84	0.1475012579
85	0.1471630075
86	0.1467135402
87	0.1464618876
88	0.1463537519
89	0.1460234687
90	0.1455572059
91	0.1451572463
92	0.1447418844
93	0.144367611
94	0.1442012215
95	0.1438915798
96	0.1433952465
97	0.143175035
98	0.1429375259
99	0.1428151736
100	0.1426494926
101	0.1424098605
102	0.1421374636
103	0.1417978762
104	0.1415708034
105	0.1411871841
106	0.140949451
107	0.1406241949
108	0.140399364
109	0.1402671555
110	0.1401259615
111	0.139899404
112	0.1396368169
113	0.1394436027
114	0.1392896956
115	0.1390194433
116	0.1386873464
117	0.1385537861
118	0.1384148348
119	0.138258373
120	0.1380116491
121	0.1378331697
122	0.1376948
123	0.1375591423
124	0.1373636091
125	0.1371712276
126	0.1369726227
127	0.1368135507
128	0.1366004412
129	0.1363524858
130	0.1362288845
131	0.136020949
132	0.1359219015
133	0.1357925396
134	0.1354825685
135	0.1353021861
136	0.1350712268
137	0.1346944398
138	0.1345621147
139	0.1343720597
140	0.1341900922
141	0.1339430226
142	0.1338496105
143	0.1336896283
144	0.1334591604
145	0.1332558033
146	0.1331014411
147	0.1327919581
148	0.1326389199
149	0.1323996624
150	0.1323169241
151	0.1321916272
152	0.1319139303
153	0.1317963951
154	0.1316235504
155	0.1312658457
156	0.1310469543
157	0.1308824842
158	0.1307244751
159	0.1303890705
160	0.1302550377
161	0.1301615231
162	0.1299721105
163	0.1297718976
164	0.1296174391
165	0.1294021983
166	0.1292469592
167	0.1291417092
168	0.1289758019
169	0.1288792145
170	0.1287037011
171	0.1285071712
172	0.1283911826
173	0.1282913188
174	0.1281544688
175	0.1280163714
176	0.1279330038
177	0.1278062305
178	0.1277355475
179	0.1276791056
180	0.1274014721
181	0.127248774
182	0.1270015387
183	0.1268952608
184	0.1266932893
185	0.1265885846
186	0.1264584177
187	0.126310414
188	0.1262196743
189	0.1259833742
190	0.1258640364
191	0.1257577843
192	0.1255476121
193	0.1254630377
194	0.1253890459
195	0.1252223594
196	0.1250901169
197	0.1249483487
198	0.1247930104
199	0.1246602923
200	0.1245475237
201	0.1244307368
202	0.1243380891
203	0.1242565197
204	0.1240945797
205	0.1239111544
206	0.1237612435
207	0.1236244196
208	0.123469214
209	0.1233309745
210	0.1232440035
211	0.123107081
212	0.1230203563
213	0.1229372245
214	0.1227933354
215	0.1227150652
216	0.1225824253
